loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status,region
16500.0,36,9.78,503.16,C,C5,0,OWN,37600.0,debt_consolidation,16.35,0,13,0,25863.49,83.14,13,Fully Paid,West
7600.0,60,20.81,153.03,B,B5,6,OWN,139400.0,home_improvement,37.29,0,12,0,40218.82,3.43,23,Fully Paid,South
15900.0,60,18.8,314.82,C,C4,10,MORTGAGE,55500.0,debt_consolidation,36.12,0,3,0,15139.64,35.57,14,Fully Paid,Midwest
35000.0,60,19.64,697.9,A,A5,6,MORTGAGE,79600.0,debt_consolidation,8.33,0,21,1,35726.05,1.34,25,Fully Paid,West
15200.0,36,12.56,475.25,B,B2,0,MORTGAGE,40000.0,debt_consolidation,10.36,0,24,2,4966.15,55.91,31,Fully Paid,Northeast
38100.0,36,21.0,1280.58,B,B5,0,OWN,65000.0,major_purchase,7.22,0,22,0,44667.45,86.51,27,Fully Paid,Midwest
37900.0,36,25.74,1323.76,C,C4,5,RENT,63300.0,other,7.84,0,17,0,9987.37,81.49,26,Fully Paid,Northeast
6700.0,36,29.95,241.85,E,E3,7,MORTGAGE,21100.0,debt_consolidation,36.31,0,14,1,15096.48,81.12,17,Fully Paid,Midwest
7900.0,36,25.96,276.41,B,B3,6,RENT,148400.0,credit_card,37.25,0,5,1,47910.59,35.18,18,Fully Paid,Northeast
34600.0,36,18.94,1143.15,C,C4,5,RENT,103300.0,debt_consolidation,2.08,0,3,0,7760.68,4.63,11,Charged Off,West
16300.0,36,9.84,497.33,C,C5,9,MORTGAGE,44400.0,home_improvement,23.74,0,19,0,12720.49,17.24,30,Fully Paid,West
1200.0,60,22.04,24.41,A,A1,2,RENT,31200.0,debt_consolidation,22.57,0,2,0,29008.96,67.07,4,Fully Paid,West
11700.0,36,28.44,417.43,C,C2,10,RENT,64500.0,debt_consolidation,15.62,0,23,1,49034.7,13.38,31,Fully Paid,South
24300.0,60,10.3,446.72,A,A5,6,RENT,56600.0,major_purchase,25.27,0,7,0,34570.97,12.53,7,Fully Paid,West
32200.0,36,11.4,996.41,A,A4,5,RENT,64700.0,debt_consolidation,37.89,0,21,0,5709.5,35.37,32,Fully Paid,Midwest
6200.0,60,8.73,112.35,F,F5,7,MORTGAGE,59600.0,debt_consolidation,6.81,0,21,1,37405.86,9.45,24,Charged Off,West
5300.0,36,23.42,181.7,G,G4,3,RENT,69800.0,other,4.82,0,20,0,21310.77,32.98,32,Charged Off,South
37000.0,36,15.16,1183.59,E,E5,8,OWN,111700.0,other,1.34,1,11,0,49616.45,96.97,20,Fully Paid,Northeast
30300.0,36,6.57,896.96,B,B1,0,RENT,72000.0,debt_consolidation,14.55,1,10,0,31435.85,2.0,22,Fully Paid,South
24000.0,60,26.87,507.48,A,A1,6,MORTGAGE,32100.0,credit_card,13.51,0,18,0,26597.79,83.05,20,Fully Paid,Midwest
31000.0,36,18.94,1024.21,D,D2,8,RENT,107100.0,credit_card,17.23,0,16,0,27863.26,99.36,17,Fully Paid,Midwest
17700.0,36,13.28,556.96,C,C2,9,RENT,123000.0,credit_card,20.13,0,3,0,32078.09,43.64,15,Fully Paid,South
30600.0,60,13.6,579.36,A,A4,0,RENT,262000.0,other,30.31,0,18,0,36591.46,94.31,30,Fully Paid,Northeast
15500.0,36,12.26,483.34,C,C1,9,OWN,30900.0,major_purchase,15.68,0,8,0,3916.09,26.11,11,Fully Paid,West
10500.0,36,16.39,339.47,A,A2,2,OWN,61200.0,major_purchase,13.22,0,17,0,6533.48,98.23,29,Fully Paid,Midwest
29400.0,36,13.43,926.34,F,F4,6,OWN,19100.0,debt_consolidation,33.08,0,18,0,15023.89,86.16,21,Charged Off,West
17400.0,36,18.7,573.72,B,B2,8,MORTGAGE,71400.0,debt_consolidation,33.99,0,2,0,23897.72,88.47,10,Fully Paid,Northeast
39300.0,36,24.34,1357.38,D,D1,0,MORTGAGE,41200.0,credit_card,9.31,1,23,0,15553.37,13.04,32,Fully Paid,Midwest
14600.0,36,21.86,494.21,B,B5,5,MORTGAGE,141700.0,debt_consolidation,12.59,1,23,0,10691.91,87.01,34,Fully Paid,Northeast
36900.0,36,12.36,1151.69,C,C3,10,RENT,36800.0,debt_consolidation,33.0,0,17,0,46251.49,94.18,22,Fully Paid,Northeast
37400.0,36,18.22,1228.17,C,C1,1,MORTGAGE,23300.0,debt_consolidation,3.18,1,22,0,1630.03,81.9,35,Fully Paid,South
10400.0,60,26.0,218.4,B,B2,4,RENT,42800.0,debt_consolidation,13.03,0,5,0,46934.91,9.14,10,Fully Paid,Northeast
32100.0,36,6.71,951.5,G,G3,6,MORTGAGE,20200.0,debt_consolidation,17.93,0,17,0,45362.12,8.48,22,Charged Off,Midwest
17900.0,36,6.96,531.83,D,D1,6,RENT,78900.0,debt_consolidation,7.48,2,4,0,34189.09,35.76,16,Fully Paid,South
36800.0,36,18.9,1215.42,F,F2,9,MORTGAGE,19300.0,debt_consolidation,7.2,0,2,0,1626.73,70.49,7,Fully Paid,Midwest
18600.0,36,20.98,625.06,E,E1,6,MORTGAGE,55000.0,credit_card,16.99,0,18,0,11267.78,1.25,25,Fully Paid,South
30000.0,36,10.29,919.08,C,C4,3,OWN,19200.0,credit_card,30.18,1,6,0,48955.03,95.06,9,Fully Paid,South
19200.0,36,23.63,659.36,F,F2,5,OWN,46200.0,debt_consolidation,33.61,1,4,0,45297.52,52.54,4,Charged Off,Northeast
9900.0,36,21.16,333.19,A,A3,10,MORTGAGE,123200.0,other,39.17,1,20,0,48228.6,35.84,30,Fully Paid,Northeast
8800.0,60,28.08,187.85,B,B1,9,RENT,64900.0,credit_card,2.96,0,12,0,49806.16,56.12,14,Fully Paid,West
17600.0,36,9.22,533.96,A,A2,5,MORTGAGE,35200.0,major_purchase,8.67,0,16,0,3194.37,71.58,23,Fully Paid,Midwest
30500.0,36,23.78,1048.69,B,B5,6,OWN,53300.0,other,30.27,0,3,0,28543.13,27.33,3,Fully Paid,Midwest
24600.0,36,7.09,731.78,B,B2,8,RENT,54700.0,debt_consolidation,21.62,0,23,0,41706.88,29.11,27,Fully Paid,West
27900.0,36,19.13,923.26,B,B1,5,MORTGAGE,68600.0,debt_consolidation,13.11,2,8,0,15985.45,46.82,9,Fully Paid,Northeast
12000.0,60,18.8,237.6,E,E5,9,RENT,27400.0,debt_consolidation,8.22,0,19,0,21777.94,66.99,28,Fully Paid,Midwest
19800.0,36,14.71,630.9,B,B3,0,RENT,72900.0,debt_consolidation,11.22,0,2,0,14186.93,70.64,5,Fully Paid,Midwest
2700.0,36,26.11,94.58,B,B5,7,MORTGAGE,14000.0,debt_consolidation,17.17,0,9,0,1903.61,32.41,23,Fully Paid,Northeast
32900.0,36,5.11,960.59,C,C1,1,MORTGAGE,39500.0,major_purchase,7.09,1,17,0,3635.67,32.25,19,Fully Paid,South
39600.0,36,18.0,1298.0,A,A5,2,MORTGAGE,42400.0,debt_consolidation,38.57,0,16,1,1072.09,48.71,16,Fully Paid,Northeast
16900.0,36,10.43,518.41,E,E1,4,MORTGAGE,74400.0,other,4.3,0,5,0,26362.22,54.19,19,Fully Paid,West
1400.0,36,23.59,48.06,A,A5,5,RENT,54800.0,major_purchase,39.42,0,14,0,30921.15,64.94,18,Fully Paid,Midwest
7600.0,36,6.08,223.95,G,G4,6,OWN,26800.0,credit_card,33.68,0,13,0,15385.08,61.77,21,Charged Off,South
26400.0,36,25.79,922.46,D,D3,3,RENT,33100.0,debt_consolidation,16.93,0,10,0,41307.43,37.25,12,Fully Paid,West
24900.0,36,25.95,871.15,B,B3,2,MORTGAGE,59800.0,credit_card,29.59,0,14,0,44400.67,29.69,14,Fully Paid,Northeast
31700.0,36,25.82,1107.92,A,A3,8,RENT,52100.0,debt_consolidation,26.86,0,12,0,6987.42,30.79,12,Fully Paid,South
10900.0,36,8.81,329.45,E,E4,3,RENT,40600.0,debt_consolidation,8.53,1,13,0,2596.22,64.54,13,Charged Off,Midwest
30800.0,36,20.76,1033.17,D,D3,8,MORTGAGE,42600.0,major_purchase,13.56,1,5,1,15969.03,43.31,8,Charged Off,South
27800.0,60,5.36,488.17,D,D5,8,MORTGAGE,76700.0,debt_consolidation,20.52,0,4,0,35649.38,13.43,8,Fully Paid,Midwest
13600.0,36,26.2,476.76,D,D2,10,MORTGAGE,41800.0,credit_card,25.51,0,6,1,25371.19,0.59,13,Fully Paid,Northeast
22300.0,60,23.07,457.41,A,A4,2,RENT,51800.0,small_business,21.72,2,7,0,24404.5,2.97,16,Fully Paid,South
6700.0,36,18.28,220.13,B,B4,2,MORTGAGE,160300.0,debt_consolidation,18.92,0,5,0,7620.52,86.75,19,Fully Paid,South
18700.0,60,23.26,384.16,A,A1,10,OWN,26600.0,credit_card,17.73,1,2,0,17572.71,45.78,16,Fully Paid,South
35400.0,36,7.36,1055.71,E,E4,7,MORTGAGE,21500.0,credit_card,19.93,0,24,0,47944.56,65.74,36,Fully Paid,Midwest
17400.0,36,18.22,571.4,D,D3,0,RENT,80200.0,debt_consolidation,17.37,1,6,0,17028.02,92.9,16,Fully Paid,Northeast
33700.0,60,12.28,630.64,B,B4,5,RENT,38600.0,major_purchase,21.65,0,3,0,29571.62,12.63,9,Fully Paid,Northeast
24000.0,60,29.32,517.28,A,A4,5,OWN,46200.0,other,35.52,0,15,0,2917.44,44.76,24,Fully Paid,Midwest
8500.0,36,26.43,298.52,B,B5,8,RENT,36700.0,credit_card,25.31,0,12,0,3192.71,53.91,25,Fully Paid,South
23700.0,36,23.33,811.92,B,B5,1,MORTGAGE,47600.0,credit_card,28.9,1,10,0,21212.7,84.15,13,Fully Paid,Midwest
20700.0,36,28.34,737.96,D,D4,7,MORTGAGE,120500.0,credit_card,23.9,1,9,0,30205.62,99.37,10,Charged Off,Midwest
16500.0,60,13.67,312.59,D,D3,6,MORTGAGE,80900.0,home_improvement,25.72,0,8,0,18617.05,71.17,9,Fully Paid,West
5700.0,36,27.52,201.91,E,E5,1,OWN,83400.0,home_improvement,23.13,0,16,0,8950.68,64.18,17,Charged Off,Northeast
17300.0,36,13.13,543.65,C,C2,0,MORTGAGE,26700.0,debt_consolidation,1.07,0,10,0,36797.87,92.03,10,Fully Paid,Midwest
3800.0,60,23.32,78.1,A,A5,3,RENT,30500.0,debt_consolidation,39.98,1,11,0,7002.19,83.74,21,Fully Paid,South
4900.0,60,23.41,100.78,D,D1,1,RENT,13100.0,other,1.34,1,19,0,33400.84,86.5,24,Fully Paid,Midwest
17200.0,36,5.46,503.86,D,D1,2,OWN,36100.0,debt_consolidation,15.81,0,20,1,47836.72,0.27,23,Fully Paid,Midwest
12900.0,36,14.03,408.61,C,C4,1,RENT,87400.0,credit_card,4.2,0,23,0,23526.84,51.44,36,Fully Paid,Midwest
37100.0,60,5.49,652.28,D,D4,8,RENT,70200.0,major_purchase,3.88,0,3,0,10021.68,78.27,5,Fully Paid,South
15700.0,36,29.93,566.64,C,C3,3,RENT,48500.0,debt_consolidation,31.74,0,23,0,42099.09,18.15,23,Charged Off,West
30600.0,60,8.05,551.06,C,C2,0,MORTGAGE,53600.0,credit_card,17.04,0,15,0,25273.81,75.15,26,Fully Paid,Midwest
21700.0,36,18.57,714.71,C,C3,7,MORTGAGE,38400.0,debt_consolidation,32.05,1,22,0,46161.1,0.92,28,Fully Paid,Northeast
28500.0,36,24.76,987.68,A,A3,3,OWN,60000.0,other,10.91,0,11,1,36029.3,57.52,24,Fully Paid,Midwest
11100.0,36,10.03,339.26,A,A1,9,RENT,79500.0,debt_consolidation,10.26,0,6,0,21530.48,85.13,14,Fully Paid,West
37700.0,36,17.13,1226.61,A,A2,10,RENT,24200.0,debt_consolidation,10.05,1,6,0,30869.21,43.13,17,Fully Paid,Midwest
21700.0,60,20.19,434.69,D,D2,10,RENT,62900.0,credit_card,24.65,0,3,0,8498.22,73.95,6,Charged Off,Northeast
33400.0,36,9.01,1011.37,B,B5,7,RENT,86400.0,major_purchase,32.6,0,23,0,19361.52,53.04,35,Fully Paid,West
15200.0,36,24.46,525.5,C,C4,7,RENT,44000.0,debt_consolidation,18.09,0,14,0,29693.56,64.73,14,Fully Paid,Northeast
4900.0,36,12.48,153.1,F,F4,8,MORTGAGE,76900.0,debt_consolidation,15.17,0,8,0,29502.09,51.67,10,Charged Off,Northeast
27300.0,36,10.28,836.29,B,B1,9,MORTGAGE,221300.0,debt_consolidation,38.94,0,22,0,29360.77,47.58,36,Fully Paid,Northeast
1300.0,36,18.96,42.96,C,C1,6,RENT,51400.0,debt_consolidation,4.67,1,16,1,37176.8,84.16,30,Fully Paid,West
19500.0,36,15.26,624.33,D,D5,3,MORTGAGE,66000.0,major_purchase,19.47,1,22,0,5282.67,9.27,35,Fully Paid,West
8500.0,36,28.01,302.25,B,B5,1,MORTGAGE,37500.0,debt_consolidation,16.34,2,16,0,3682.85,58.47,24,Fully Paid,Northeast
25500.0,60,27.0,539.75,A,A3,5,OWN,59300.0,home_improvement,3.93,0,7,0,7401.04,11.48,20,Fully Paid,Northeast
39200.0,60,17.08,764.92,B,B4,3,RENT,68200.0,major_purchase,10.73,1,8,0,39619.72,56.28,8,Fully Paid,South
19100.0,36,13.98,604.73,A,A5,5,MORTGAGE,59700.0,other,1.14,0,5,0,3242.69,96.36,5,Fully Paid,West
32900.0,36,13.14,1033.97,F,F2,7,MORTGAGE,32500.0,credit_card,35.08,1,5,0,11261.77,5.71,9,Charged Off,Midwest
20800.0,36,11.69,645.32,E,E3,2,RENT,60100.0,debt_consolidation,24.31,0,2,0,12738.8,42.2,14,Fully Paid,West
20300.0,36,18.61,668.83,D,D3,0,MORTGAGE,112500.0,debt_consolidation,32.6,1,12,1,32362.58,80.2,16,Fully Paid,South
37300.0,60,25.12,777.83,E,E4,4,OWN,67800.0,other,20.86,0,6,0,20081.48,36.97,18,Fully Paid,South
35700.0,36,12.77,1118.3,E,E4,2,MORTGAGE,87600.0,small_business,23.98,0,3,0,9949.66,52.03,10,Fully Paid,Northeast
31600.0,36,9.75,963.36,B,B4,5,OWN,48100.0,credit_card,28.03,0,6,0,22476.92,11.47,6,Fully Paid,West
12600.0,36,16.89,409.12,E,E1,2,OWN,78800.0,other,36.32,0,6,0,34272.57,22.31,20,Fully Paid,Midwest
22300.0,36,6.73,661.13,C,C4,0,MORTGAGE,62300.0,major_purchase,3.67,0,21,0,39302.59,68.64,28,Fully Paid,West
9700.0,36,22.53,330.15,E,E1,8,MORTGAGE,33700.0,other,13.24,2,14,0,6194.16,82.86,24,Fully Paid,South
18300.0,36,17.96,599.63,E,E5,4,RENT,63500.0,home_improvement,28.36,0,13,0,35735.78,64.65,14,Charged Off,Midwest
19900.0,36,17.41,649.02,B,B2,1,RENT,33000.0,small_business,38.33,0,11,1,226.13,83.69,11,Fully Paid,Midwest
33400.0,60,12.51,626.31,A,A2,1,RENT,39500.0,small_business,39.23,2,14,0,36216.18,60.57,27,Fully Paid,Northeast
35900.0,60,27.62,763.59,B,B3,10,OWN,59600.0,debt_consolidation,25.52,1,10,0,33050.19,81.02,20,Charged Off,West
17200.0,60,7.26,307.48,C,C3,8,RENT,62900.0,other,7.74,0,6,0,23433.33,98.29,13,Fully Paid,West
1700.0,60,26.75,35.91,E,E3,0,MORTGAGE,29900.0,debt_consolidation,4.77,0,7,0,6843.66,8.28,16,Fully Paid,West
34600.0,36,14.42,1099.7,E,E2,9,RENT,91800.0,debt_consolidation,37.84,0,18,0,38227.45,47.96,19,Fully Paid,Midwest
7800.0,60,27.02,165.13,A,A3,2,MORTGAGE,72100.0,major_purchase,17.36,0,6,0,3587.65,18.99,10,Fully Paid,South
25300.0,36,23.22,865.96,C,C1,9,MORTGAGE,38100.0,home_improvement,7.79,0,12,0,44778.43,46.52,21,Fully Paid,South
2000.0,36,7.6,59.78,C,C3,10,RENT,25100.0,small_business,37.36,0,7,0,38673.02,49.96,20,Fully Paid,Northeast
16600.0,60,25.79,348.02,B,B5,6,MORTGAGE,50400.0,debt_consolidation,4.18,0,10,0,37048.17,62.19,15,Fully Paid,South
39500.0,36,22.05,1339.16,A,A3,0,MORTGAGE,43300.0,debt_consolidation,29.18,0,13,0,37719.71,43.93,15,Fully Paid,West
4900.0,60,5.81,86.41,B,B1,1,RENT,57300.0,debt_consolidation,25.01,0,5,0,3378.66,32.47,17,Charged Off,Northeast
17500.0,36,8.34,526.65,F,F2,5,MORTGAGE,45200.0,credit_card,3.51,2,19,0,49497.45,4.32,27,Fully Paid,South
13000.0,60,20.89,261.93,B,B2,8,MORTGAGE,19900.0,home_improvement,13.55,1,16,0,42929.98,3.48,24,Fully Paid,South
36300.0,36,21.57,1225.83,C,C2,8,MORTGAGE,44600.0,debt_consolidation,6.0,0,5,0,25396.67,17.5,12,Charged Off,Northeast
34900.0,36,23.67,1198.91,D,D1,7,RENT,46500.0,credit_card,24.18,0,15,0,35970.02,44.9,27,Fully Paid,Midwest
10300.0,36,23.01,351.95,B,B2,2,MORTGAGE,74400.0,debt_consolidation,19.08,0,19,0,36962.86,41.75,25,Fully Paid,Northeast
4200.0,60,21.49,85.04,G,G4,1,OWN,38200.0,major_purchase,0.17,0,18,0,41489.26,19.07,22,Charged Off,Midwest
25500.0,36,24.16,879.47,G,G3,0,MORTGAGE,125400.0,debt_consolidation,39.03,0,3,0,12768.7,82.23,12,Charged Off,West
14100.0,36,19.38,467.57,B,B1,10,MORTGAGE,20800.0,home_improvement,13.98,1,22,0,18602.64,68.35,36,Fully Paid,Midwest
27200.0,36,11.52,842.6,C,C3,10,OWN,104400.0,debt_consolidation,10.33,0,20,0,39984.27,34.32,21,Fully Paid,Northeast
2300.0,36,27.81,81.66,B,B5,8,RENT,48400.0,debt_consolidation,8.9,1,23,0,38449.19,79.7,25,Fully Paid,West
6200.0,36,5.46,181.63,B,B3,4,RENT,83300.0,small_business,6.35,0,15,0,26130.77,98.92,19,Fully Paid,Northeast
27800.0,36,14.16,881.57,A,A1,2,RENT,56400.0,credit_card,39.97,0,5,0,19810.27,24.5,12,Charged Off,Northeast
9300.0,60,23.22,190.99,C,C4,9,MORTGAGE,95800.0,credit_card,11.8,0,3,0,48422.13,36.26,3,Charged Off,Midwest
34400.0,36,15.68,1105.39,C,C4,9,RENT,44600.0,home_improvement,16.22,0,14,0,20751.07,99.29,24,Fully Paid,Midwest
3300.0,36,5.62,96.82,A,A2,10,RENT,31300.0,home_improvement,34.85,0,8,0,38199.29,13.79,8,Fully Paid,Midwest
9400.0,36,6.65,278.47,B,B4,4,RENT,110200.0,home_improvement,25.68,0,23,0,20632.12,7.72,29,Fully Paid,West
39900.0,36,21.22,1343.52,F,F5,10,MORTGAGE,51200.0,major_purchase,14.75,1,9,0,15491.81,52.1,9,Charged Off,Midwest
17900.0,36,29.12,642.01,B,B5,2,OWN,60500.0,credit_card,35.93,0,11,0,32049.84,46.84,13,Fully Paid,West
28400.0,60,18.8,562.32,A,A3,8,MORTGAGE,100400.0,debt_consolidation,29.99,0,22,0,40380.79,7.83,29,Charged Off,Northeast
8100.0,36,17.67,264.76,C,C5,0,MORTGAGE,32300.0,debt_consolidation,9.12,1,4,0,49068.88,29.0,12,Charged Off,Northeast
24800.0,36,12.96,778.17,G,G1,0,MORTGAGE,73000.0,other,25.75,0,5,0,7445.2,41.89,9,Fully Paid,Midwest
29300.0,36,11.42,906.84,B,B2,2,RENT,40300.0,other,36.9,0,22,0,43805.72,82.22,36,Charged Off,South
13300.0,36,5.52,389.84,D,D5,5,RENT,50700.0,debt_consolidation,19.86,0,22,0,26207.1,70.78,27,Fully Paid,Northeast
33300.0,36,11.82,1034.34,D,D2,10,RENT,56200.0,debt_consolidation,29.34,0,7,0,5387.12,91.45,19,Fully Paid,South
24500.0,36,16.23,791.01,B,B2,1,OWN,25600.0,debt_consolidation,38.84,0,21,0,39718.93,33.25,28,Fully Paid,South
16200.0,60,9.95,296.86,D,D3,0,MORTGAGE,36700.0,home_improvement,27.62,1,8,0,16577.22,30.94,10,Charged Off,South
22700.0,36,7.18,675.83,B,B1,7,RENT,106500.0,debt_consolidation,4.1,1,8,0,43412.49,46.32,8,Fully Paid,Midwest
23500.0,36,22.94,802.53,D,D3,10,RENT,84400.0,major_purchase,9.78,0,23,0,7890.09,0.75,31,Fully Paid,West
7500.0,36,27.37,265.35,D,D5,9,MORTGAGE,52500.0,other,23.8,0,18,1,35554.58,20.73,19,Fully Paid,Northeast
16700.0,36,28.42,595.73,C,C5,8,RENT,61200.0,other,11.02,0,7,0,15039.81,21.15,18,Fully Paid,South
14400.0,60,20.45,289.08,A,A2,9,OWN,46800.0,debt_consolidation,38.3,0,20,0,12867.44,6.11,30,Fully Paid,West
16600.0,36,6.32,490.25,E,E4,0,RENT,106800.0,other,16.21,0,19,0,2513.01,45.51,32,Fully Paid,Midwest
30700.0,60,23.52,632.01,B,B2,2,MORTGAGE,49000.0,home_improvement,18.29,0,13,0,24095.43,90.55,21,Fully Paid,Northeast
19800.0,36,7.75,592.62,B,B1,4,OWN,60800.0,debt_consolidation,28.06,1,20,0,19575.12,0.4,30,Fully Paid,West
37700.0,36,21.74,1274.89,A,A4,6,MORTGAGE,96100.0,debt_consolidation,20.97,0,12,1,3084.52,62.84,13,Fully Paid,Midwest
12500.0,36,24.48,432.22,C,C4,9,RENT,36700.0,home_improvement,15.29,1,18,0,11332.11,87.93,25,Fully Paid,Northeast
17200.0,36,23.15,588.38,D,D4,3,RENT,118100.0,other,3.07,0,4,0,24363.59,10.75,6,Fully Paid,Northeast
31700.0,36,28.8,1134.16,A,A5,5,MORTGAGE,25200.0,debt_consolidation,23.86,0,16,0,40413.57,91.73,28,Fully Paid,Midwest
22300.0,36,23.45,764.7,C,C1,0,MORTGAGE,122400.0,debt_consolidation,34.7,1,6,0,46472.39,81.85,14,Fully Paid,South
22300.0,36,22.33,757.77,B,B5,3,MORTGAGE,45000.0,credit_card,27.43,1,5,0,25766.61,21.46,14,Fully Paid,Northeast
3100.0,36,11.54,96.05,D,D2,7,MORTGAGE,48000.0,other,15.26,0,2,0,20165.34,90.53,14,Fully Paid,Northeast
16500.0,36,28.12,587.22,A,A2,4,RENT,21100.0,other,5.11,0,22,0,47737.72,80.4,25,Fully Paid,South
11600.0,36,9.49,352.8,D,D2,7,MORTGAGE,43200.0,debt_consolidation,32.65,0,4,1,48143.12,11.14,11,Charged Off,West
40000.0,60,27.62,850.8,B,B2,0,MORTGAGE,32200.0,debt_consolidation,37.67,1,11,0,9520.62,83.06,14,Charged Off,Northeast
13000.0,36,12.82,407.41,F,F5,9,MORTGAGE,40000.0,other,15.53,0,14,0,26572.77,54.22,16,Fully Paid,West
35500.0,60,8.25,640.48,A,A4,8,MORTGAGE,50600.0,home_improvement,29.15,0,8,0,41045.5,81.6,8,Fully Paid,South
27400.0,36,25.67,956.49,B,B1,3,RENT,87500.0,other,16.43,1,15,0,41112.95,61.77,18,Charged Off,Northeast
14300.0,36,5.06,417.32,A,A3,8,MORTGAGE,60100.0,small_business,20.09,0,14,0,34248.93,39.19,15,Fully Paid,South
22200.0,36,25.8,775.77,F,F3,7,MORTGAGE,63200.0,debt_consolidation,33.46,1,22,0,23573.45,60.11,30,Charged Off,Northeast
33800.0,36,11.56,1047.42,E,E2,7,RENT,31300.0,major_purchase,3.34,0,23,0,20182.82,63.62,36,Fully Paid,Northeast
35500.0,36,27.12,1253.54,B,B5,1,RENT,34900.0,debt_consolidation,21.21,0,23,0,40320.61,76.62,24,Fully Paid,Northeast
7300.0,36,22.29,247.98,D,D2,2,MORTGAGE,133200.0,major_purchase,8.58,0,6,0,11286.16,83.07,13,Charged Off,South
14200.0,36,21.65,479.84,E,E5,9,RENT,37500.0,credit_card,13.59,1,12,0,21421.49,66.32,21,Fully Paid,Northeast
14100.0,36,14.13,447.01,C,C4,8,MORTGAGE,124000.0,other,25.78,1,23,0,28343.23,98.96,32,Fully Paid,West
2600.0,60,6.49,46.15,C,C1,2,RENT,48000.0,other,1.09,0,15,0,41589.2,77.86,21,Fully Paid,Midwest
24300.0,36,25.75,848.81,B,B2,7,MORTGAGE,54200.0,debt_consolidation,23.75,0,2,1,18692.51,91.08,7,Fully Paid,Midwest
34300.0,36,9.27,1041.1,A,A1,4,RENT,92500.0,debt_consolidation,11.34,1,6,0,27432.79,31.95,9,Fully Paid,Midwest
15900.0,36,14.31,504.87,E,E4,6,RENT,102300.0,credit_card,26.78,1,4,0,13958.19,31.62,6,Charged Off,West
29900.0,60,20.01,598.05,F,F3,3,MORTGAGE,51300.0,small_business,5.66,3,23,0,41845.63,36.23,34,Charged Off,Northeast
25500.0,36,17.06,829.18,D,D2,7,MORTGAGE,44600.0,major_purchase,29.43,0,2,0,39277.06,43.97,13,Fully Paid,South
15700.0,36,9.97,479.59,B,B3,3,RENT,52700.0,other,25.83,0,18,1,41004.91,96.14,32,Fully Paid,South
6500.0,60,8.52,117.56,B,B1,4,RENT,64100.0,credit_card,38.85,0,21,0,2873.81,7.35,31,Fully Paid,Northeast
